"Payment for order #","Оплата счета №"
"The order has been canceled. Order #","Заказ был отменен, заказ #"
"Redirect to Okpay.com ...","Перенаправление на Okpay.com ..."
"WalletID","WalletID"
"Okpay.com payments","Платежи Okpay.com"
"You will be redirected to Okpay.com when you place an order.","Олата происходит автоматически на сайте платежей Okpay.com"
"To have access to the international payment network of Okpay.com please register on Okpay.com for a free account, if you don’t have one yet.","Если у вас еще нет WalletID для приема платежей с помощью Okpay. Вы можете зарегистировать его бесплатно на Okpay.com </a>"
