"Payment for order #","Payment for order #"
"The order has been canceled. Order #",The order has been canceled. Order #"
"Redirect to Okpay.com ...","Redirect to Okpay.com ..."
"WalletID","WalletID"
"Okpay.com payments","Okpay.com payments"
"You will be redirected to Okpay.com when you place an order.","You will be redirected to Okpay.com when you place an order."
"To have access to the international payment network of Okpay.com please register on Okpay.com for a free account, if you don’t have one yet.","To have access to the international payment network of Okpay.com please register on Okpay.com for a free account, if you don’t have one yet."
